 TRAIN | Epoch 0 - Loss: 0.041151
 TRAIN | Epoch 1 - Loss: 0.031376
 TRAIN | Epoch 2 - Loss: 0.027580
 TRAIN | Epoch 3 - Loss: 0.025337
 TRAIN | Epoch 4 - Loss: 0.024014
 TRAIN | Epoch 5 - Loss: 0.023047
 TRAIN | Epoch 6 - Loss: 0.022352
 TRAIN | Epoch 7 - Loss: 0.021778
 TRAIN | Epoch 8 - Loss: 0.021312
 TRAIN | Epoch 9 - Loss: 0.020948
 TRAIN | Epoch 10 - Loss: 0.020645
 TRAIN | Epoch 11 - Loss: 0.020349
 TRAIN | Epoch 12 - Loss: 0.020126
 TRAIN | Epoch 13 - Loss: 0.019968
 TRAIN | Epoch 14 - Loss: 0.019777
 TRAIN | Epoch 15 - Loss: 0.019649
 TRAIN | Epoch 16 - Loss: 0.019487
 TRAIN | Epoch 17 - Loss: 0.019360
 TRAIN | Epoch 18 - Loss: 0.019232
 TRAIN | Epoch 19 - Loss: 0.019124
 TRAIN | Epoch 20 - Loss: 0.019037
 TRAIN | Epoch 21 - Loss: 0.018937
 TRAIN | Epoch 22 - Loss: 0.018888
 TRAIN | Epoch 23 - Loss: 0.018826
 TRAIN | Epoch 24 - Loss: 0.018758
 TRAIN | Epoch 25 - Loss: 0.018671
 TRAIN | Epoch 26 - Loss: 0.018604
 TRAIN | Epoch 27 - Loss: 0.018544
 TRAIN | Epoch 28 - Loss: 0.018496
 TRAIN | Epoch 29 - Loss: 0.018447

Process finished with exit code 0
